Ordem de antiguidade;Ministro[nota 1];Nascimento (data e local);Formação acadêmica;Indicação Presidencial;Votação de confirmação no Senado;Idade na posse;Data inicial (posse);Data limite (aposent.);Principais funções anteriores e atuais
1;Gilmar Ferreira Mendes;30 de dezembro de 1955 (67 anos) Diamantino, MT;Graduação e mestrado em direito pela Universidade de Brasília, mestrado e doutorado em direito pela Universidade de Münster[70];Fernando Henrique Cardoso;57-15;46;20 de junho de 2002;2030;Oficial de chancelaria (1976-1982), procurador da República (1985-1988), adjunto da Subsecretaria Geral da Presidência da República (1990-1991), consultor jurídico da Secretaria Geral da Presidência da República (1991-1992), assessor técnico do Ministério da Justiça (1995-1996), subchefe para assuntos jurídicos da Casa Civil (1996-2000), advogado-geral da União (2000-2002), professor adjunto da Universidade de Brasília (1995-atualidade)
2;Enrique Ricardo Lewandowski;11 de maio de 1948 (74 anos) Rio de Janeiro, RJ;Graduação em ciências políticas e sociais pela Escola de Sociologia e Política de São Paulo, graduação em ciências jurídicas e sociais pela Faculdade de Direito de São Bernardo do Campo, mestrado em relações internacionais pela The Fletcher School of Law and Diplomacy, mestrado e doutorado em direito pela Universidade de São Paulo[71];Luiz Inácio Lula da Silva;63-4;57;16 de março de 2006;2023;Advogado (1974-1990), secretário de Governo e de Assuntos Jurídicos de São Bernardo do Campo (1984-1988), juiz do Tribunal de Alçada Criminal de São Paulo (1990-1997), desembargador do Tribunal de Justiça do Estado de São Paulo (1997-2006), professor da Universidade de São Paulo (1978-atualidade)[71]
3;Cármen Lúcia Antunes Rocha;19 de abril de 1954 (68 anos) Montes Claros, MG;Graduação em direito pela Pontifícia Universidade Católica de Minas Gerais, mestrado em direito constitucional pela Universidade Federal de Minas Gerais[72];Luiz Inácio Lula da Silva;55-1;52;21 de junho de 2006;2029;Procuradora do Estado de Minas Gerais (1983-2006), procuradora-geral do Estado de Minas Gerais (2001-2002),[73] professora da Pontifícia Universidade Católica de Minas Gerais (1983-atualidade)[72]
4;José Antonio Dias Toffoli;15 de novembro de 1967 (55 anos) Marília, SP;Graduação em direito pela Universidade de São Paulo[74];Luiz Inácio Lula da Silva;58-9;41;23 de outubro de 2009;2042;Advogado (1991-2009), assessor parlamentar na Assembleia Legislativa de São Paulo (1994), assessor jurídico da liderança do Partido dos Trabalhadores na Câmara dos Deputados (1995-2000), professor do Centro de Ensino Unificado de Brasília (1996-2002), subchefe para assuntos jurídicos da Casa Civil (2003-2005), advogado-geral da União (2007-2009)[75]
5;Luiz Fux;26 de abril de 1953 (69 anos) Rio de Janeiro, RJ;Graduação e doutorado em direito pela Universidade do Estado do Rio de Janeiro[76];Dilma Rousseff;68-2;57;3 de março de 2011;2028;Promotor de justiça do Ministério Público do Estado do Rio de Janeiro (1979-1982), juiz de direito (1983-1997), desembargador do Tribunal de Justiça do Estado do Rio de Janeiro (1997-2001), ministro do Superior Tribunal de Justiça (2001-2011), professor da Universidade do Estado do Rio de Janeiro (1977-atualidade)[76]
6;Rosa Maria Pires Weber;2 de outubro de 1948 (74 anos) Porto Alegre, RS;Graduação em direito pela Universidade Federal do Rio Grande do Sul[77];Dilma Rousseff;57-14;63;19 de dezembro de 2011;2023;Juíza do trabalho (1976-1991), professora da Pontifícia Universidade Católica do Rio Grande do Sul (1989-1990), desembargadora do Tribunal Regional do Trabalho da 4ª Região (1991-2006), ministra do Tribunal Superior do Trabalho (2006-2011)[77]
7;Luís Roberto Barroso;11 de março de 1958 (65 anos) Vassouras, RJ;Graduação em direito pela Universidade do Estado do Rio de Janeiro, mestrado em direito pela Universidade Yale e doutorado em direito pela Universidade do Estado do Rio de Janeiro;Dilma Rousseff;59-6;55;26 de junho de 2013;2033;Advogado (1981-2013), procurador do Estado do Rio de Janeiro (1985-2013), professor da Universidade do Estado do Rio de Janeiro (1982-atualidade)[78]
8;Luiz Edson Fachin;8 de fevereiro de 1958 (65 anos) Rondinha, RS;Graduação em direito pela Universidade Federal do Paraná, mestrado e doutorado em direito pela Pontifícia Universidade Católica de São Paulo[79];Dilma Rousseff;52-27;57;16 de junho de 2015;2033;Advogado (1980-2015), procurador do Estado do Paraná (1990-2006), professor da Universidade Federal do Paraná (1991-2015)[79]
9;Alexandre de Moraes;13 de dezembro de 1968 (54 anos) São Paulo, SP;Graduação e doutorado em direito pela Universidade de São Paulo[80];Michel Temer;55-13;48;22 de março de 2017;2043;Promotor de justiça do Ministério Público do Estado de São Paulo (1991-2002), secretário de Justiça de São Paulo (2002-2005), conselheiro do Conselho Nacional de Justiça (2005-2007), secretário de Transportes do Município de São Paulo (2007-2010), advogado (2010-2014), secretário de Segurança Pública de São Paulo (2015-2016), ministro da Justiça (2016-2017), professor da Universidade de São Paulo (1992-atualidade), professor da Universidade Presbiteriana Mackenzie (1998-atualidade)[81]
10;Kassio Nunes Marques;16 de maio de 1972 (50 anos) Teresina, PI;Graduação em direito pela Universidade Federal do Piauí, mestrado em direito constitucional pela Universidade Autônoma de Lisboa e doutorado em direito pela Universidade de Salamanca[82];Jair Bolsonaro;57-10;48;5 de novembro de 2020;2047;Advogado (1996-2011), conselheiro seccional da Ordem dos Advogados do Brasil - Seção Piauí (2007-2009), juiz do Tribunal Regional Eleitoral do Piauí (2008-2011), desembargador do Tribunal Regional Federal da 1.ª Região (2011-2020)
11;André Luiz de Almeida Mendonça;27 de dezembro de 1972 (50 anos) Santos, SP;Graduação em direito pelo Centro Universitário de Bauru, especialização em direito público pela Universidade de Brasília, mestrado e doutorado em direito pela Universidade de Salamanca;Jair Bolsonaro;47-32;48;16 de dezembro de 2021;2047;"Advogado da BR Distribuidora (1997-2000), advogado da União (2000-2021), assessor especial da Controladoria-Geral da União (2016-2018), advogado-geral da União (2019-2020; 2021), ministro da Justiça e Segurança Pública (2020-2021)"
